cluster,barcode,abo_url,system_id,year,marker,work_title,main_title
10,Z206541004,http://data.onb.ac.at/ABO/+Z206541004,AC10337706,1675,TravelogueD17 Asien Europa; TravelogueD17 Orient,Morgenländische Reise-Beschreibung,Morgenländische Reise=Beschreibung/ Des Hoch=Edelgebornen/ Gestrengen und Vesten Herrn/ Herrn Arnd Gebhards von Stammer/ etc.; Welche er vor etzlichen Jahren mit großer Lebens=Gefahr/ iedoch aber/ durch hochpreisliche GnadeGottes/ ohne Verlust des Lebens gethan ; Darinnen die denckwürdigste Dinge/ so in solchen Ländern zu sehen und zu mercken/ auch Das Heilige Grab unsers liebsten HErrn und Heilandes Jesu Chrjstj/ Neben andern umbliegenden heiligen Oertern/ gantz eigentlich beschrieben werden. Zum andernmal gedruckt
11,Z166652606,http://data.onb.ac.at/ABO/+Z166652606,AC10227706,1603,TravelogueD17 Asien Afrika; TravelogueD17 Orient,"Peregrynacya, albo pielgrzymowanie do Jeruzalem ziemi świe̜tej","Jüngst geschehene Hierosolymitanische Reyse vnd Wegfahrt/ DEs Durchleuchtigen/ Hochgebornen Fürsten vnnd Herren/ Herrn Nicolai Christophori Radzivili, Hertzogen in Olika vnnd Nyeswiesz, Grafen in Szyllowikc vnd Myr, &c.; Welche in vier Sendschreiben begriffen/ darinn sehr nützliche/ lustige vnd seltzame ding/ im Heiligen vnd Egyptischen Landt: in vielen Jnseln/ auff dem Meer vnd Nilo/ von den Christen/ Türcken/ Arabern/ vnd anderer allerhand jetziger Zeit Sachen/ zu ersehen; Auß Polischer Sprach/ in Latein versetzt/ vnd zum ersten mal in Druck verfertiget/ Durch Den Achtbarwürdigen vnd Wolgelehrten Herren Thomam Tretervm, des hohen Tumbstiffts zu Frawnburgk Custodem. Jetzundt aber auß Lateinischer Sprach inn Teutsch verfasset. Durch Lavrentivm A Borkav Nobil. Prvtznvm"
12,Z156398106,http://data.onb.ac.at/ABO/+Z156398106,AC10472044,1669,TravelogueD17 Asien,"Gedenkwaerdige Gezantschappen der Oost-Indische Maetschappy in't Vereenigd Nederland, aan de Kaisaren van Japan; 1669",Denckwürdige Gesandtschafften der Ost=Jndischen Gesellschaft in den Vereinigten Niederländern/ an unterschiedliche Keyser von Japan:; Darinnen zu finden nicht allein die wunderlichen Begäbnüsse auf der Reyse der Niederländischen Gesanten; sondern auch Eine Beschreibung der Dörffer/ Festungen/ Städte/ Landschafften/ Götzengebeue/ Götzendienste/ Kleider=trachten/ Heuser/ Thiere/ Gewächse/ Berge/ Brunnen/ als auch der alten und itzigen Kriegsthaten der Japaner: Mit einer grossen anzahl Kupferstücken/ in Japan selbsten abgerissen/ gezieret: Aus den Schriften und Reyseverzeichnüssen gemelter Gesanten gezogen/; Durch Arnold Montanus
12,Z164617007,http://data.onb.ac.at/ABO/+Z164617007,AC10134690,1670,TravelogueD17 Asien,"Gedenkwaerdige Gezantschappen der Oost-Indische Maetschappy in't Vereenigd Nederland, aan de Kaisaren van Japan; 1669",Denckwürdige GEsandtschafften der Ost=Jndischen Gesellschaft in den Vereinigten Niederländern/ an unterschiedliche Keyser von Japan:; Darinnen zu finden nicht allein die wunderlichen Begäbnüsse auf der Reyse der Niederländischen Gesanten; sondern auch Eine Beschreibung der Dörffer/ Festungen/ Städte/ Landtschafften/ Götzengebeue/ Götzendienste/ Kleider=trachten/ Heuser/ Thiere/ Gewächse/ Berge/ Brunnen/ als auch der alten und itzigen Kriegsthaten der Japaner: Mit einer grossen anzahl Kupferstücken/ in Japan selbsten abgerissen/ gezieret: Aus den Schrifften und Reyseverzeichnüssen gemelter Gesanten gezogen; Durch Arnold Montanus
13,Z164646202,http://data.onb.ac.at/ABO/+Z164646202,AC10471189,1699,TravelogueD17 Asien Europa; TravelogueD17 Orient,Neue Jerosolymitanische Pilger-Fahrt,"Neue Jerosolymitanische Pilger=Fahrt/ Das ist: Kurtze/ doch wahrhafft= und denck=würdige Beschreibung Deß Gelobten Heiligen Lands/; Von Jesu Christo Unserm Erlöser und Seeligmacher betretten und geheiliget. Darinnen vil schöne Antiqutäten/ verwunderlich= auch denckwürdige Begebenheiten enthalten / und dem Christ=liebend= als auch curiosen Leser zur anmuthig= und nutzlichen Zeit=Vertreibung sehr dienstlich an Tag gegeben/ und durchwandlet von P. F. Ignatio von Rheinfelden/ Deß Mindern Ordens S. P. Francisci Capucinern Jubilato und Predigern / etc. Mit underschidlichen hierzu dienlichen Kupffer und Figuren/ nicht weniger 2. sehr wohl=eingerichten Registern versehen. Denen noch beygefügt ein Sum[m]arischer Bericht von deß Franciscaner=OrdensProvinzien/ Custodien/ und Personen/ sonderlich aber von underschidlichen Missionen oder Sendungen der Capucinern zu Bekehrung der Unglaubigen/ und Erweiterung deß Christlichen Glaubens/ nit nur in= und ausser Europa, sondern auch Asia, Affrica, &c. Zu Beförderung dessen seynd hierinnen beygedruckter zu finden 2. Copien oder Befelchs=Schreiben deß Gross=Türckischen Käysers/ welche der Seraphischen Religion bemelter Patrum verlihen/ daß sie mögen unverhindert den Christlichen Glauben außbreiten. Superiorum Permissu"
13,Z105518505,http://data.onb.ac.at/ABO/+Z105518505,AC09832396,1667,TravelogueD17 Afrika Asien Europa; TravelogueD17 Orient,Neue Jerosolymitanische Pilger-Fahrt,"Neue Jerosolymitanische Pilger=Fahrt/ Oder Kurtze Beschreibung Desz gelobten Heiligen Lands/; von Christo Jesu unserm Erlöser und Seeligmacher betretten und geheiliget, etc. Durch P. F. Ignatium von Rheinfelden/ deß Mindern Ordens S. P. Francisci, Capuccinern/ Predigern/ durchwandelt und beschrieben. Mit unterschiedlichen Kupfferstücken und Holtzschnitten geziert/ und wieder in Truck gegeben. Sampt Angehencktem Summarischem Bericht/ von deß Franciscaner Ordens Provintzien/ Custodien und Personen. Jnsodernheit aber Von unterschiedlichen Missionen oder Sendungen deren Capuccinern/ zu Erweiterung deß Christlichen Glaubens in und ausser Europa, wie auch in Asia, Afrika, &c."
14,Z220030607,http://data.onb.ac.at/ABO/+Z220030607,AC10196398,1671,TravelogueD17 Europa Asien; TravelogueD17 Orient,Itinerarium orientale; 1649,<<P. à S. T.>> Orientalische Räisebeschreibung; Worinnen unterschiedliche Begebenheiten seiner Räise/ vielerley Orientalische Landschafften/ das Gebürg/ Meer und Flüsse/ die Zeit-Rechnung der Fürsten so darinnen geherrschet/ ihre Einwohner so wol Christen als Unglaubige/ ingleichen auch Die Thiere/ Bäume/ Pflantzen und Früchte so darinnen gefunden werden/ endlich mancherley Geschichten so darinnen sich haben zugetragen
14,Z202956908,http://data.onb.ac.at/ABO/+Z202956908,AC10196399,1673,TravelogueD17 Europa Asien; TravelogueD17 Orient,Itinerarium orientale; 1649,<<Deß Wohl=Ehrwürdigen P. Philippi Von der H. Dreyfaltigkeit/ Discalceaten Carmeliters/>> Orientalische Raisebeschreibung/; Worinnen unterschiedliche Begebenheiten seiner Raise/ vielerley Orientalische Landschaffen/ das Gebürg/ Meer und Flüsse/ die Zeit=Rechung der Fürsten so darinnen geherrschet/ ihre Einwohner/ so wol Christen als Unglaubige/ Jngleichen auch Die Thiere/ Bäume/ Pflantzen und Früchte so darinnen gefunden werden/ endlich mancherley Geschichten/ so darinnen sich haben zugetragen/ begriffen
15,Z168355408,http://data.onb.ac.at/ABO/+Z168355408,AC14470439,1629,TravelogueD17 Nordamerika,<<A>> discourse and discovery of Newfoundland; 1620,"Zwanzigste Schiffahrt/ oder Gründliche vnd sattsame Beschreibung deß Newen Engellands:; Wie auch Außführliche Erzehlung von Beschaffenheit der Landschafft Virginia, vnd der Insel Barmuda, deren man bißhero schlechte vnnd vnvollkommene Wissenschafft gehabt/ an jetzo ab durch dero Landt erfahrne Leuht/ volliglich an Tag gegeben"
15,Z185157703,http://data.onb.ac.at/ABO/+Z185157703,AC11092890,1627,TravelogueD17 Nordamerika Ozeanien Südamerika,,"Continvatio Americae, Das ist: Fortsetzung der Historien von der Newen Welt/ oder Nidergängischen Jndien/ waran es auff diese Zeit noch anhero ermangelt.; Darinnen erstlich ein sattsame vnd gründtliche Beschreibung deß Newen Engellandts/ welches die Englische das New erfundene Landt nennen/ so bißher noch nicht an Tag kommen. Zum Andern/ Ein außführlichere Erzehlung von Beschaffenheit der Landtschafften Virginia, Brasilia, Guiana, vnd Jnsuln Bermuda, deren man bißhero schlechte vnd vnvollkommene Wissenschafft gehabt. Drittens/ Gantz newer aber doch warhafftiger Bericht/ von dem bißher noch vnerkanten grossen Theil deß Erdekreises/ Terra Australia, oder Incognita, daruon noch in keiner Reise oder Schiffarth meldung beschehen. Sampt allem dem jenigen/ was in einer vnd andern beschriebenen Landschafft/ nichts außgescheiden/ denckwürdigs zu sehen/ vnd mit Lust vnd Verwunderung anzuhören. Am Ende ist vmb gleichheit der Materien willen/ hierbey gefügt ein weitläufftiger Discurs/ wie die Statt S. Saluator vnnd Baia in Brasilien, respectiue verlohren vnd wider gewunnen worden. Alles mit beygefügten Kupfferstücken vnd zu gehörigen gantz newen lustigen Landtschaftten/ erläutert vnd geziert/ auch biß auff das 1627. Jahr continuirt"
16,Z178293907,http://data.onb.ac.at/ABO/+Z178293907,AC10153023,1601,TravelogueD17 Asien Ozeanien Afrika,"Journael van de tweede Schip-vaert op Oost Indien, gedaen by acht Scheepen, onder den Heer Admirael Jacob van Neck en de Wybrand van Warwyck, van Amsterdam ghezeylt in den Jare 1598","Das ander Buch/ Journal oder Tagh=handelbuch/ inhaltend ein warhaftigh vberschlagh vnd Historissche erzelung von die Reyse oder Schiffahrt/ durch acht Schiff von Amsterdam ghethan/ welche Anno 1598. am eersten tag im Martio vnder daß befelch von dem Admiral Iacob Corenlissz Neck, vnd Wybrant von Warvvijck gleich als Vice=Admiral/ von Amsterdam auszghefahren sein; Von ihre Zeglung vnd ghedenckwirdichste sachen vnd geschicht/ die ihnen auff ietz ghemelte Reyse widerfahren vnd zughefallen seind. Zu gleich ihre handlung im kauffen vnd verkauffen/ auch ein Historisch erzelung von die orther die sei [!] in die Molucken besegelt haben/ ihr handlung/ wandlung/ Kreichsrustung/ ghelegenheit der platz/ vnd wasz nutß alda zu schaffen ist/ wunderlich vnd gar nutzbarlich zu lesen. Mit 24. Kupfere stuck ghezieret, mit ihre beschreibung da bey. Vnd ein Dictionarium von ihrer worter"
16,Z185144101,http://data.onb.ac.at/ABO/+Z185144101,AC11093530,1601,TravelogueD17 Asien,"Journael ofte dagh-register, inhoudende een waerachtigh verhael vande reyse ghedaen 1598; 1601","Fünffter Theil Der Orientalischen Jndien/ EYgentlicher Bericht vnd warhafftige Beschreibung der gantzen volkommenen Reyse oder Schiffart/ so die Holländer mit Acht Schiffen in die Orientalische Jndien/ sonderlich aber in die Javanische vnd Molukische Inseln/ als Bantam, Banda, vnd Ternante, &c. gethan haben/; welche von Amsterdam abgefahren im Jahr 1598. vnd zum Theil Anno 1599. zum Theil aber in Jüngst abgelauffenen 1600. Jahr / mit grossem Reichthumb von Pfeffer/ Muscaten/ Negelein/ vnd anderer köstlichen Würtz/ wider anheym gelanget/ darinn fleissig beschrieben vnd angezeiget/ was ihnen auff der gantzen Reyse Denckwürdiges begegnet vnd zuhanden gangen/; Auß Niederländischer Verzeichnuß/ in hochteutscher Sprach beschrieben/ durch M. Gothart Artus von Dantzigk. Sampt zierlicher Abbildung der fürnembsten Jnseln/ Stätte/ Wasserströme/ Völcker/ Handel vnd Wander vnd anderer Geschichten/ alles in Kupffer gestochen/ und an Tag geben/ Durch Iohan Theodor vnd Iohan Israel de Bry/ Gebrüder"
17,Z157614406,http://data.onb.ac.at/ABO/+Z157614406,AC10369283,1609,TravelogueD17 Europa Asien; TravelogueD17 Orient,"Kurtze und warhafftige Beschreibung der Reiss von Prag aus, durch Schlesien, Polen, Moscaw, Tartareyen, bis an den Königlichen Hoff in Persien; 1608","Iter Persicvm, Kurtze/ doch auszführliche vnd warhafftige beschreibung der Persianischen Reiß:; Welche auff der Röm: Kay: May: aller gnedig. Befelch/ im Jahr Christi 1602. Von dem Edlen vnd Gestrengen Herren Stephano Kakasch von Zaloukemeny/ vornehmen Siebenbürgischen vom Adel/ angefangen: Vnd alß derselbig vnterwegen zu Lantzen in Medien Land todes verschieden: von seinem Reißbefeherten Georgio Tectandro von der Jabel vollends continuiret vnd verrichtet worden. Beyneben fleissigen verzeichniß aller gedenckwürdigen sachen/ welche jhnen/ so wol vnter wegen/ in Polen/ Littaw/ Reussen/ Moscaw/ Tartarey/ Cassaner vnd Astarcanier Land/ vnd auff dem Caspischen Meer: Alß auch in Persien/ vnd Armenien/ auch andern Provintzen Asiæ vnd Europæ hin vnd wieder begegnet vn[d] zugestanden: Wie solches durch obgemelten Herren Georgen Tectander von der Jabel/ zu seiner nach Prag wiederkunfft auffs Pappier gebracht/ vnd höchstgedachter jrer Kays. May. Anno 1605. den 8. Ian. vnterthenigst ist vbergeben worden. Nu mit fleiß vbersehen/ vnd in Druck verfertiget/ auch mit schönen Kupfferstücken gezieret"
17,Z180631708,http://data.onb.ac.at/ABO/+Z180631708,AC10369282,1608,TravelogueD17 Europa Asien; TravelogueD17 Orient,"Kurtze und warhafftige Beschreibung der Reiss von Prag aus, durch Schlesien, Polen, Moscaw, Tartareyen, bis an den Königlichen Hoff in Persien; 1608",Kurtze vnd warhafftige beschreibung der Reiß Von Prag aus/ Durch Schlesien/ Polen/ Moscaw/ Tartareyen/ Bis an den Königlichen Hoff in Persien; So von Georgio Tectandro von der Jabel/ mit verleihung Göttlicher hülffe Anno 1605. durch glück vnd vnglück verrichtet worden ist
18,Z166663707,http://data.onb.ac.at/ABO/+Z166663707,AC10241018,1609,TravelogueD17 Afrika Asien Südamerika,,"Historische Relation/ Was sich inn etlichen Jaren hero/ im Königreich Iapon, so wol im geist= als auch im weltlichen Wesen/ namhafftes begeben vnd zugetragen; Zum andern/ von dem Standt vnd Gelegenheit der gantzen OstJndien/ wie auch die Vestungen zu Mozambic, Goa vnd Malaca, von den Holländern belägert/ vnd was sie deren orten außgericht. Drittens/ kurtze Beschreibung deß Landts Guinea vnd Serra Lioa in Africa ligendt: Was mit Bekehrung eines heydnischen Königs/ vnd einer Vestung/ so die Holländer inn Guinea zuerbawen sich vnderstanden/ verloffen vnd fürüber gangen: Wie sie auch letstlich daruon abgetriben worden; Durch Ægidium Albertinvm, Fürstl. Durchl. in Bayrn/ etc. Secretarien , auß vnderschidlichen der Societet Iesu Jtalianischen vn[d] Frantzösischen Jahrschreiben/ vnd anderer Herrn Missiuen/ menigklich zu guten in vnser hochteutsche Sprach vbersetzt"
18,Z166665601,http://data.onb.ac.at/ABO/+Z166665601,AC06479586,1608,TravelogueD17 Asien,Relacion de la entrada de algunos padres de la Copania de Jesu en la China; 1605,"Histori Vnd eigentliche beschreibung/ erstlich was gestalt vermittelst sonderbarer Hülff vnd Schickung deß Allmächtigen/ dann auch der ehrwürdigen Vätter der Societet Iesv gebrauchten Fleiß/ vnd außgestandener Mühe/ Arbeit vnd Gefahrt/ numehr vnd vor gar wenig Jahren hero/  das Euangelium vnd Lehr Christi in dem grossen vnd gewaltigen Königreich China eingeführt/ gepflanzt und geprediget wirdt; Am andern/ wie sie alle andere Politische vnd Weltliche Sachen vnnd Gelegenheiten aldort beschaffen/ befunden. Alles lustig vnd nutzlich zulesen; Durch Egidium Albertinum, auß einem Jtalienischen/ vnd auß besagtem Königreich China herauß geschicktem Tractätl verteutscht"
19,Z205028809,http://data.onb.ac.at/ABO/+Z205028809,AC06609073,1699,TravelogueD17 Asien,Nouveaux mémoires sur l'état présent de la Chine,"<<Das>> heutige Sina; Von dem berühmten Königl. Frantzösischen Mathematico, R. P. Louis le Comte, der Societät Jesu/ Durch Curieuse An verschiedene/ hohe Geist= und weltliche Standes=Personen/ Staats=Ministren/ und anderer vornehme gelährte Leute gefertigte Send=Schreiben/ Den Liebhabern seltener Sachen zu sonderbarer Vergnügung vorgestellet. Aus dem Frantzösischen übersetzet. Mit schönen Kupffern"
19,Z205028706,http://data.onb.ac.at/ABO/+Z205028706,AC06609076,1699,TravelogueD17 Asien,Nouveaux mémoires sur l'état présent de la Chine,"<<Das>> heutige Sina; Von dem berühmten Königl. Frantzösischen Mathematico, R. P. Louis le Comte, der Societät Jesu/ Durch Curieuse An verschiedene/ hohe Geist= und weltliche Standes=Personen/ Staats=Ministren/ und andere vornehme gelährte Leute gefertigte Send=Schreiben/ Den Liebhabern seltener Sachen zu sonderbarer Vergnügung vorgestellet. Aus dem Frantzösischen übersetzet. Mit schönen Kupffern"
20,Z179149105,http://data.onb.ac.at/ABO/+Z179149105,AC10199539,1603,TravelogueD17 Asien,,"Sendschreiben Von dem Wolstand und glückseligem Fortgang der Christenheit in den Orientalischen Jndien:; Durch den Ehrwürdigen Patrem Nicolaum Pimentam, der Societet Iesv in denselben Jndien Visitatoren/ An seinen Hochehrwürdigen Generalem P. Claudium Aquauia[m] auß Goa den letsten Nouemb. Anno 1600. geschriben. Vnd jetzundt Teutscher Nation zu Nutz/ Lust/ vnd Wolgefallen in jhr gemeine Sprache versetzet"
20,Z16721300X,http://data.onb.ac.at/ABO/+Z16721300X,AC10241038,1601,TravelogueD17 Asien,"Newe Historische Relation, Und sehr gute, fröliche und lustige Bottschafft, was sich in vilen gewaltigen Königreichen der Orientalischen Indien, wie auch inn dem mächtigen Königreich China, und bey dem grossen König Mogor ... zugetragen","Newe Historische Relation/ Und sehr gůte/ fröliche vnd lustige Bottschafft/ was sich in vilen gewaltigen Königreichen der Orientalischen Jndien/ wie auch inn dem mächtigen Königreich China/ vnd bey dem grossen König Mogor/ zuuorderst aber in Jappon/ vor vn[d] nach dem Tod deß alte[n] Königs Quabacondoni od[er] Taicosamę/ im 1598. vnd 99. Jar/ zůgetragen/; wie jetzt gemelter Tyrann abgeleibet/ vnd Gott der Herr den Patribus Societatis Iesv, grosse gewaltige Thor zů beköhrung der Haidenschafft/ in gemeldten Königreichen/ wunderbarlich eröffnet. Auch von den mercklichen Reichthumben/ seltzamen vnerhörten Sitten vnnd Gebräuchen/ so wol in Religions/ als Politischen Wesen/ derselben Königen jhrer Reiche. Alles in etlichen Missiuen obgedachter Patrum/ vnd vorgemelten Jaren/ an jhren Hochehrwürdigen P. Generalem geschriben/ vnd thails auß dem Lateinischen/ thails auß dem Welschen Exemplar in die Teutsche Sprach versetzt"
21,Z103507504,http://data.onb.ac.at/ABO/+Z103507504,AC07530148,1617,TravelogueD17 Asien,Historia del regno del Voxu del Giapone,"Relation Unnd gründtlicher Bericht von deß Königreichs Voxu in Japonischen Keyserthumb Gottseliger Bekehrung/ vnnd dessentwegen außgefertigter Ambasciada an Päbst: Heil: gen Rom Paulum den Fünfften, vnd an die Cathol: May: Philip den Dritten König in Hispania/ etc. Anno M.DC.XV.; Durch R.P.F. Ludouicum Sotelum S. Francisci Ordens der Discaltzen/ oder Parfüsser: Vnd den beygeordneten Durchleuchtigen/ vnd Hochgebornen Don: Rocuyemon Faxecura deß Königlichen Geblüts/ einen hochedlen Ritter; Anfangs in Jtalienischer Sprach verfasset/ von dem Edlen vnd Hochgelehrten Scipione Amato Romano V.I.D. Als Interprete vnd Reyßgeferten dieser Ambasciada. An jetzo aber zu Teutsch verwendet durch R.P.F. Thobiam Hendschelium D. Obbesagtes Franciscaner Ordens der Strengen Observantz/ vnd dessen Convents S. Hieronimi zu Wienn in Oesterreich/ Archigymnasij sacræ Moralis Theologiæ Professorem"
