Spalte1,Systemnummer,MMS-ID,Volltext,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Druckort normiert ; GND-ID,Verlagsort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr normiert,Kollation,Illustrationen,Format,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Spalte2,Inhalt,Enthaltenen Werke,Schlagworte,Marker,Signatur,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Kollation2,4,Barcode,Spalte3,Spalte4,Spalte5
125,AC09742560,990028962000603338,,"Brunel, Antoine <<de>>; (DE-588)128750529","Voyage d'Espagne Curieux, Historique, Et Politique; 1665",,Reyse=Beschreibung/ Nacher Spanien; Voll artiger Geschichten und merckwürdiger Welt=Klugheiten/ Deren Beygefüget eine nacher Engelland/ Jn welcher viel Dinge berühret werden/ den Stand der Wissenschaften und der Religion/ auch andere merckwürdige Materien betreffend/ Beyde Anfangs in Frantzösischer Sprach beschriben anjetzo in das Teutsche übergesetzet; Durch Johann Mackle/ D.,,,Franckfurt,Frankfurt am Main; (DE-588)4018118-2,Frankfurt am Main; (DE-588)4018118-2,Jn Verlegung Johann Georg Schiele/ Buchhändlers,"Schiele, Johann Georg; (DE-588)124684203","Schiele, Johann Georg; (DE-588)124684203",1667,1667,"24 ungezählte Seiten, 486 Seiten, 4 ungezählte Seiten",,12°,ger,fre,Aus dem Französischen übersetzt,VD17 39:133446A,"Sorbière, Samuel; (DE-588)100274331",,"Makle, Johann; (DE-588)128809728","Aerssen, François <<van>>; (DE-588)128750413",,,,,Reisebericht,Zusammenstellung,Relation Einer Reyse Nach Engelland. Jn welcher viel Dinge berühret werden/ den Stand der Wissenschafften und der Religion/ auch andere merckwürdige Materien betreffend/ An den Herrn Marggrafen Von Vobrun Nogent,"Sorbière, Samuel; Relation d'un voyage en Angleterre","Reise; Spanien; Geschichte 1655; Brunel, Antoine <<de>>",TravelogueD17 Europa,36349-A MAG,"Kein illustrierender Inhalt. - Holzschnitt-Vignette, Zierleisten und Initialen im Text ; Gedruckte Marginalien ", Bibliografischer Nachweis: VD17 39:133446A , Vorlageform der Veröffentlichungsangabe auf dem Titelblatt und auf dem Titelblatt der beigefügten Manifestation: Franckfurt/ Jn Verlegung Johann Georg Schiele/ Buchhändlers. M DC LXVII. ," Signaturformel: )(12, A-V12, X4 ; Blatt X4 unbedruckt",,,,,
127,AC09750435,990029042320603338,http://data.onb.ac.at/ABO/%2BZ221886406,"Burnet, Gilbert; (DE-588)118674978","Some letters containing an account of what seemed most remarkable in Switzerland, Italy &c",,"<<Des berühmten Englischen Bischoffs zu Salisbury Gilberti Burnets>> Durch die Schweitz/ Jtalien/ auch einige Oerter Deutschlandes und Franckreichs vor wenig Jahren gethane Rejse/; Und derselben Curieuse Beschreibung/ Worinnen die neuesten Im Geist= und weltlichen Staat entstandene Revolutiones enthalten ; Nebenst einem Anhang/ Jn welchem ausführlich von dem Qvietismo, Lebens=Beschreibung Molinos, und vielen andern Jtalien betreffenden Begebenheiten gehandelt wird/ Anfänglich in Englisch ietzo aber in deutscher Sprache beschrieben/ un din dieser dritten Edition nach dem Englischen mit Fleiß übersehen und verbessert",,In dieser dritten Edition nach dem Englischen mit Fleiß übersehen und verbessert,[Leipzig],Leipzig; (DE-588)4035206-7,Leipzig; (DE-588)4035206-7,Jn Verlegung Johann Friedrich Gleditsch,"Gleditsch, Johann Friedrich; (DE-588)104073772","Gleditsch, Johann Friedrich; (DE-588)104073772",1693,1693,"696, 364 Seiten, 44 ungezählte Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,12°,ger,eng,Aus dem Englischen übersetzt,VD17 3:607135P,,,,,,,,,Reisebericht,,"Die eigentliche Beschreibung Des gegenwärtigen Zustandes in Italien, Insonderheit Von dem Anfang und Fortgang Des Quietismi, Und Lebens-Lauffes Des Molinos ... ; Von einer vornehmen und hochverständigen Person in Englischer Sprache heraus gegeben ... Jetzo aber ... ins Teutsche übersetzet ... von Jo. Georg. Pritio",,Frankreich; Reise; Geschichte 1685-1686; Italien; Deutschland,TravelogueD17 Europa,*28.V.124 PRUNK,Die Illustration ist ein Kupferstich-Porträt des Verfassers. - Titelblatt in Rot- und Schwarzdruck , Bibliografischer Nachweis: VD17 3:607135P ; Bibliografie Reiseliteratur Eutin ,," Signaturformel: A-Z12, Aa-Ff12, a-r12",,Z221886406,,,
128,AC09750783,990029045890603338,http://data.onb.ac.at/ABO/%2BZ202942703,"Busbecq, Ogier Ghislain <<de>>; (DE-588)119025280",Legationis Turcicae epistolae quatuor; 1589,,<<Augerii Gislenii von Busbeck>> Vier Sendschreiben der Türkischen Bottschaft/ welche von dem Röm. Keyser Ferdinand dem I. an Solimann/ damaligen Türkischen Keyser ihm aufgetragen worden:; Darinnen viel politische Lehren/ lustige Geschichte/ philosophische Discursen/ und was sich sonst denkwürdiges zugetragen/ ordentlich verfasst. Denen beygefüget eine Beschreibung seiner absonderlichen Reis/ von Constantinopel nach Amasien: Ein Bedenken von Anstellung und Fortsetzung des Türkenkriegs: Samt des Türkischen Abgesandten Relation/ in Frankfurth vor den Reichsständen. Alles aus dem Lateinischen geteutschet/ mit schönen Kupfern/ Türkischer Landkarte/ nothwendigen Anmerkungen und Register geziert/ und verbessert,,,Nürnberg,Nürnberg; (DE-588)4042742-0,Nürnberg; (DE-588)4042742-0,in Verlegung Michael und Joh. Friederich Endtern,"Endter, Johann Friedrich;;Endter, Michael; (DE-588)130896357;;(DE-588)102823219","Endter, Johann Friedrich;;Endter, Michael; (DE-588)130896357;;(DE-588)102823219",1664,1664,"XII, 896 Seiten, 36 ungezählte Seiten, 1, 24 ungezählte Blätter Bildtafeln, 5 gefaltete Blätter Bildtafeln","29 Illustrationen, 1 Karte",12°,ger,lat,Aus dem Lateinischen übersetzt,VD17 39:131132P,,,,,,"Fleischberger, Johann Friedrich; (DE-588)130818151",,,Reisebericht; Briefsammlung,,,,Gesandtschaftsbericht; Österreich; Geschichte 1554-1562; Türkei; Osmanisches Reich,TravelogueD17 Asien Europa; TravelogueD17 Orient,BE.6.X.47 PRUNK,"Die Illustrationen umfassen einen illustrierenden Kupfertitel (signiert: Fleischberger), ein Kupferstich-Porträt des Verfassers, ein Kupferstich-Porträt des Sultan Suleiman, ein Kupferstich-Porträt des Kaisers Ferdinand I., eine gestochene Karte des Osmanischen Reichs (signiert: Fleischberger) und 25 Kupferstichillustrationen. - Holzschnitt-Zierleisten, Vignetten und Initialen im Text ; Gedruckte Marginalien "," Bibliografischer Nachweis: VD17 39:131132P ; Yerasimos (1991), S. 240 ", Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Nürnberg/ in Verlegung Michael und Joh. Friedrich Endtern/Anno 1664. ," Signaturformel: )(6, A-Z12, Aa-Pp12, Qq6, Rr4",,Z202942703,,,
116,AC09705617,990028583930603338,,C.A.D.L.,,,"Beschreibung wie ... Kaysers (Leopold I.) ... Raiß auff Schott-Wienn, und die allda beschehene Besuechung ... deroselben ... Gespons ... abgangen ist.",,,[Ohne Ort],,,,,,1666,1666,,,,ger,,,,,,,,,,,,,,,,Claudia Felicitas; Schottwien; Leopold; Schottwien,TravelogueD17 Europa,622241-C MAG,,,,,,,,,
129,AC09757482,990029114710603338,http://data.onb.ac.at/ABO/%2BZ180648204,"Capell, Rudolf; (DE-588)122898613","Vorstellungen des Norden, oder Bericht von einigen Nordländern, und absonderlich von dem so genandten Grünland; 1676",,Norden/ Oder Zu Wasser und Lande im Eise und Snee/ mit Verlust Blutes und Gutes zu Wege gebracht/ und fleissig beschriebene Erfahrung und Vorstellung des Norden/ Auß Denen/ welche zu unterschiedenen Zeiten gelebet/ viel im Norden versuchet/ viel auch umbsonst angefangen und angewandt haben:; Auff guter Freunde Begehren zusammen gebracht dargereichet/ und fernen zu betrachten und zu vermehren/ von Rudolff Capel/ der H. Schrifft D. und Historiarum P. P. außgefärtiget,,,Hamburg,Hamburg; (DE-588)4023118-5,Hamburg; Stockholm; (DE-588)4023118-5; (DE-588)4057648-6,Bey Johann Nanmann [das heißt Naumann];Bey Gottfried Liebezeit,"Naumann, Johann;;Liebezeit, Gottfried; (DE-588)1037506111;;(DE-588)1037497481","Naumann, Johann; (DE-588)1037506111",1678,1678,"8 ungezählte Seiten, 236 Seiten, 8, 64 ungezählte Seiten, 1 ungezähltes Blatt Karte",2 Karten,4°,ger; lat,,Enthält Manifestationen von aus dem Englischen übersetzten Werken,VD17 23:306623H,"Moxon, Joseph",,,,,"Wichmann, Joachim; (DE-588)130108200",,,Reisebericht,Zusammenstellung,Kurtze Erzehlung Von dem Anfange und Fortgange Der Schiffahrt/ biß auff diese unsere Zeit;Ein kurtzer Discours von Der schiff-Fahrt bey dem Nord-Pol Nach Japan/ China/ und so weiter. Aus dem Englischen ins Hochdeutsche übersetzet,"Moxon, Joseph; Brief discourse of a passage by the north-pole",Nordostpassage; Geschichte; Schiffsreise; Geschichte; Arktis; Entdeckungsreise; Kompilation; Reisebericht,TravelogueD17 Europa Arktis,79.Cc.397 PRUNK,"Die Illustrationen sind 1 Holzschnitt-Karte1, 1 Kupferstich-Karte als Frontispiz. - Holzschnitt-Vignetten im Text ", Bibliografischer Nachweis: Wiener China-Bibliographie: Bibliotheca Sinica 2.0 ; 	VD17 23:306623H , Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Hamburg/ Bey Johann Nanmann [!]. und Stockholdm Bey Gottfried Liebezeit/ Jm 1678sten Jahre der Christen. ," Signaturformel: )(4, A-Z4, Aa-Dd4, a-c4, )(4, )1(4, )2(4, )3(4, A-E4",,Z180648204,,,
85,AC15456639,9958563973503338,http://data.onb.ac.at/ABO/%2BZ252901907,"Casas, Bartolomé <<de las>>; (DE-588)118726625",Brevissima relación de la destruyción de las Indias; (DE-588)4294888-5,,"Umbständige warhafftige Beschreibung Der Jndianischen Ländern/ so vor diesem von den Spaniern eingenommen und verwüst worden/; Durchgehends mit schönen Kupfferstücken und lebhafften Figuren außgezieret/; Erst in Lateinischer Sprach außgeben Durch Bartholomaeum de las Casas, Bischoffen in Hispanien/ Jetzt aber in das Teutsche übersetzt/ und an vielen Orten verbessert/ in dieser neu= und letztern Edition",,"An vielen Orten verbessert, in dieser neu- und letztern Edition",[Ohne Ort],,,,,,1665,1665,"4 ungezählte Seiten, 119 Seiten",18 Illustrationen,4°,ger,spa,"Aus dem Lateinischen übersetzt, Originalsprache des Berichtes ist Spanisch",VD17 39:131659G,,,,,,"Winghe, Jodocus van",,,,,,,Eroberung Lateinamerikas; Lateinamerika; Geschichte 16. Jahrhundert; Völkermord; Missionsreise; Lateinamerika; Geschichte 1502-1547,TravelogueD17 Südamerika,393342-B MAG,"Die Illustrationen umfassen 17 Kupferstich-Illustrationen (teilweise signiert Iodo. a Winghe) und 1 illustrierenden Kupferstichrahmen auf dem Titelblatt. - Holzschnitt-Vignetten, Zierleisten und Initialen ; Gedruckte Marginalien ", Bibliografischer Nachweis: VD17 39:131659G ; Nicht ident mit VD17 23:648849F ; Bibliografie Reiseliteratur Eutin , Ungezählte Seite 3-4: Vorrede an den Leser,,,Z252901907,,,
153,AC10053682,990032142050603338,http://data.onb.ac.at/ABO/%2BZ26007720X,"Casas, Bartolomé <<de las>>; (DE-588)118726625",Brevissima relación de la destruyción de las Indias; (DE-588)4294888-5,,Warhafftiger vnd gründlicher Bericht/ Der Hispanier grewlich: vnd abschewlichen Tyranney von jhnen in den WestJndien/ die newe Welt genant/ begangen; Erstlich/ Castilianisch durch Bischoff Bartholomæum de las Casas gebornen Hispaniern/ Presiger Ordens beschrieben: Vnd in der Königl. Statt Hispalis oder Sevilia in Spanien gedruckt: Nachmals ins Hochteutsch/ durch einen Liebhaber deß Vatterlands/ vbergesetzt. Jetzunder widerumb mit schönen Figuren gezieret/ zur Warnung vnd Beyspiel gedruckt,,,gedruckt zu Oppenheim,Oppenheim; (DE-588)4043637-8,Oppenheim; (DE-588)4043637-8,Jn Verlegung Joh. Theodori de Bry,"Bry, Johann Theodor <<de>>; (DE-588)11851640X","Bry, Johann Theodor <<de>>; (DE-588)11851640X",1613,1613,169 Seiten,18 Illustrationen,4°,ger,spa,"Aus dem Lateinischen übersetzt, Originalsprache des Berichtes ist Spanisch",VD17 23:242461B,,,,,,"Winghe, Jodocus <<van>>",,,,,,,Eroberung Lateinamerikas; Lateinamerika; Völkermord; Geschichte 16. Jahrhundert; Missionsreise; Lateinamerika; Geschichte 1502-1547,TravelogueD17 Nordamerika,393341-B MAG,"Die Illustrationen umfassen 1 illustrierenden Kupferstich-Rahmen auf dem Titelblatt, 17 gezählte Kupferstich-Illustrationen (teilweise signiert von Jodocus van Winghe). - Holzschnitt-Vignetten und Zierleisten "," Bibliografischer Nachweis: VD17 23:242461B ; Groesen (2008), Nr. *144 "," Seite 3-11: Vorrede an den Leser. - Seite 13-15: Vorrede des Verfassers an Philipp, Infant von Spanien "," Signaturformel: A-X4, Z1",,Z26007720X,,,
222,AC08930434,990057674380603338,http://data.onb.ac.at/ABO/%2BZ252901907,"Casas, Bartolomé <<de las>>; (DE-588)118726625",Brevissima relación de la destruyción de las Indias; (DE-588)4294888-5,,"Umbständige warhafftige Beschreibung Der Jndianischen Ländern/ so vor diesem von den Spaniern eingenommen und verwüst worden; Durchgehends mit schönen Kupfferstücken und lebhafften Figuren außgezieret; Erst in Lateinischer Sprach außgeben Durch Bartholomæum de las Casas, Bischoffen in Hispanien/ Jetzt aber in das Teutsche übersetzt/ und an vielen Orten verbessert/ in dieser neu= und letztern Edition",,"An vielen Orten verbessert, in dieser neu- und letztern Edition",[Ohne Ort],,,,,,1665,1665,"4 ungezählte Seiten, 119 Seiten",18 Illustrationen,4°,ger,spa,"Aus dem Lateinischen übersetzt, Originalsprache des Berichtes ist Spanisch",VD17 23:648849F,,,,,,"Winghe, Jodocus van",,,,,,,Eroberung Lateinamerikas; Lateinamerika; Geschichte 16. Jahrhundert; Völkermord; Missionsreise; Lateinamerika; Geschichte 1502-1547,TravelogueD17 Nordamerika,,Die Illustrationen sind 17 gezählte Kupferstich-Illustrationen (teilweise signiert von Jodocus van Winghe) und einen illustrierenden Kupferstichrahmen auf dem Titelblatt. - Holzschnitt-Vignetten und Initialen. - Gedruckte Marginalien , Bibliografischer Nachweis: VD17 23:648849F; Nicht ident mit VD17 39:131659G , Ungezählte Seite 3-4: Vorrede an den Leser,,,Z252901907,,,
96,AC02665117,990003975140603338,http://data.onb.ac.at/ABO/%2BZ27280208,"Chardin, John; (DE-588)119384086",Journal du voyage du chevalier Chardin en Perse et aux Indes Orientales; 1686,,"<<Des vortrefflichen Ritters Chardin, des grossen Königs Persien Hoff=Handelsmanns/>> Curieuse Persian= und Ost=Jndische Reise=Beschreibung/; Bestehend in einem ordentlichen Journal Oder Täglichen Verzeichnüß seiner in Persien und Ost=Jndien über das Schwartze Meer und den Cholchidem abgelegter Reisen; Erstlich vom Authore selbst in Frantzösischer Sprach beschrieben/ nachgehends in die Englische ; anitzo aber wegen seiner Vortreffligkeit in die Hochdeutsche übersetzet/ mit schönen Kupffern gezieret/ und nöthigem Register versehen",,,Leipzig,Leipzig; (DE-588)4035206-7,Leipzig; (DE-588)4035206-7,Jn Verlegung Johann Friedrich Gleditsch/ Buchhändl.,"Gleditsch, Johann Friedrich; (DE-588)104073772","Gleditsch, Johann Friedrich; (DE-588)104073772",1687,1687,"20 ungezählte Seiten, 532 Seiten, 20 ungezählte Seiten, 1, 5 ungezählte Blätter Bildtafeln, 11 ungezählte teilweise gefaltete Blätter","1 Karte, 17 Illustrationen",4°,ger,fre,Aus dem Französischen übersetzt,VD17 3:301471T,,,,,,,"Gleditsch, Johann Friedrich; (DE-588)104073772","Conrad, Friedrich; Winckler, Georg; Bohse, Caspar; Bohse, Georg; Winckler, Paul; Winckler, Heinrich",Reisebericht,,,,Iran; Reise; Geschichte 1671-1677; Ostindien; Schwarzmeer-Gebiet; Orient,TravelogueD17 Orient; TravelogueD17 Asien,361944-B MAG,"Die Illustrationen umfassen 1 gestochenes Frontispiz, 1 Kupferstich-Porträt des Verfassers, 1 Kupferstich-Karte, 15 Kupferstich-Illustrationen. - Titelblatt in Rot-Schwarz-Druck mit Holzschnitt-Vignette ; Vignetten und Initialen im Text ", Bibliografischer Nachweis: VD17 3:301471T ; Bibliografie Reiseliteratur Eutin ," Ungezählte Seite 5-9: Widmungsvorrede des Buchhändlers Johann Friedrich Gleditsch an Friedrich Conrad, Georg Winckler, Caspar Bohse, Georg Bohse, Paul Winckler, Heinrich Winckler, David Fleischer, Zacharias Richter, Johann Haberkorn, Johrann Graf, Johann Jacob Keeß, Gottfried Auerbach, Michael Balduin Brummer, Christoph Georg Winckler u.a., Datum Leipzig, 02.04.1687. - Ungezählte Seite 10-13: Widmungsschreiben des Autors an Karl II., König von England [?]. - Ungezählte Seite 14-20: Vorrede des Verfassers "," Signaturformel: [2], )(4, )()(4, A-Z4, Aa-Zz4, Aaa-Zzz4. - Fehler in der Paginierung: S. 76-77 als 72-73, S. 80 als 76, S. 415 als 451, S. 502 als 592 paginiert",,Z27280208,,,
130,AC09772037,990029263740603338,http://data.onb.ac.at/ABO/%2BZ156319401;http://data.onb.ac.at/ABO/%2BZ156319504,"Chaumont, Alexandre <<de>>; (DE-588)124882692",Relation de l'ambassade de Mr. le Chevalier de Chaumont à la cour du Roy de Siam; 1686,,"Beschreibung der von Hn. Ritter de Chaumont Jm Nahmen und von wegen Deß Königs in Franckreich An den König zu Siam glücklich=verrichteten Gesandtschafft; Sampt einem außführlichen Bericht alles dessen/ was bey dieser weiten Räise merckwürdiges sich begeben und zugetragen. Nebens curieuser Erzehlung vom Staat/ Sitten/ Religion/ Handel und Wandel/ nicht nur deß Königreichs Siam/ sondern auch dero benachbarten Landen. Wie auch Eine richtige Verzeichnus deren kostbaren Præsenten an den König in Franckreich/ Monsieur, Madame la Douphine, und andere Grosse selbigen Hofes; Alles von Jhm selbst beschrieben/ und auß dem Frantzösischen verteutscht",,,Franckfurt,Frankfurt am Main; (DE-588)4018118-2,Frankfurt am Main; (DE-588)4018118-2,Verlegts Joh. David Zunner,"Zunner, Johann David; (DE-588)103750674X","Zunner, Johann David; (DE-588)103750674X",1687,1687,"4 ungezählte Seiten, 260 Seiten, 6 ungezählte Blätter Bildtafeln, 183 Seiten, 7 ungezählte Seiten, 189 Seiten, 1 ungezählte Seite, 206 Seiten, 3 ungezählte Seiten, 172 Seiten, 7 ungezählte Seiten",7 Illustrationen,12°,ger,fre,Aus dem Französischen übersetzt,,"Donneau de Visé, Jean; (DE-588)100111734",,,,,,,,Reisebericht,Zusammenstellung,Reysz-Beschreibung Der Abgesandten von Siam Jn Franckreich [4 Teile],"Donneau de Visé, Jean; Voyage des ambassadeurs de Siam en France",Frankreich; Gesandtschaft; Thailand; Geschichte 1685-1686; Thailand,TravelogueD17 Asien,48.X.41 PRUNK,"Die Illustrationen sind 1 illustrierender Kupfertitel, 7 Kupferstich-Illustrationen, . Holzschnitt-Zierleisten und Initialen im Text "," Bibliografischer Nachweis: VD17 ; Enth. Werk: VD17 12:631794M. - Die vier Teile des enth. Werkes jeweils mit eigenem Titelblatt, T. 1-3 mit Impressum, T. 2 mit Impressum ""Franckfurt/ Verlegts Joh. David Zunner. 1687"". - Nicht ident mit VD17 1:655091Z, dort Veröffentlichungsangabe auf dem Titelblatt ""Franckfurt/ Verlegts Joh. Balthasar Nieß. 1687"" ", Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Franckfurt/ Verlegts Joh. David Zunner. 1687. ," Signaturformel: [2], A-K12, L10, A-H12, a-g12, h11, Aa-Hh12, Ii10, A-G12, H6. - Fehler in der Paginierung: In der ersten Paginierung Seite 249 als 449 paginiert",,Z156319401;Z156319504,,,
31,AC05861706,990057716310603338,http://data.onb.ac.at/ABO/%2BZ168355305,"Coverte, Robert; (DE-588)124740065",<<A>> True and almost incredible report of an Englishman; 1612,Schiffart; 15,"Fünffzehende Schiffart: Warhafftiger vnd zuvor nie erhörter Bericht eines Engelischen/ welcher mit einem Schiff/ die Auffart genandt/ in Cambaia, dem eussersten Theil OstJndien/ Schiffbruch gelidden/ zu Landt durch vnbekandte Königreich gereiset/ derselben Königreich Stätt/ Landts vnd Kauffhandels erzehlung; Sampt einer Glaubwürdigen offenbarung deß Großmächtigen Keysers/ der grosse Mogul genandt/ etc. vnter Capitein Robert Coverte. Durch einen Liebhaber der Historien auß dem Englischen in Hochteutsch vbergesetzt",,,Gedruckt zu Hanaw,Hanau; (DE-588)4023201-3,Hanau; (DE-588)4023201-3,in verlegung der Hulsischen,"Hulsius, Maria; (DE-588)1174910941","Hulsius, Maria; (DE-588)1174910941",1617,1617,75 Seiten,1 Illustration,4°,ger,eng,Aus dem Englischen übersetzt,VD17 23:299776K,,,,,,,,,Reisebericht,,,,Reise; Indien; Geschichte 1607-1611; Iran; Mittlerer Osten; Ostindien,TravelogueD17 Orient; TravelogueD17 Asien,393592-B MAG,Die Illustration ist Titelkupfer ; Vignetten und Initialen im Text , Bibliografischer Nachweis. VD17 23:299776K , Blatt A2a-b: Vorrede an den Leser. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Gedruckt zu Hanaw in verlegung der Hulsischen. Anno M. DC. XVII. ," Signaturformel: A-J4, K2",,Z168355305,,,
32,AC13797150,990051199710603338,http://data.onb.ac.at/ABO/%2BZ168352602,"Coverte, Robert; (DE-588)124740065",<<A>> True and almost incredible report of an Englishman; 1612,Schiffart; 15,"Fünffzehende Schiffart. Warhafftiger vnd zuvor nie erhörter Bericht eines Engelischen/ welcher mit einem Schiff/ die Auffart genandt/ in Cambaia, dem eussersten Theil OstJndien/ Schiffbruch gelitten/ zu Landt durch vnbekandte Königreich gereiset/ derselben Königreich Stätt/ Landts vnd Kauffhandels Erzehlung; Sampt einer Glaubwürdigen Offenbarung deß Großmächtigen Keysers/ der grossen Mogoll genand/ etc.; vnter Capitein Robert Coverte. Durch einen Liebhaber der Historien auß dem Englischen in Hochteutsch vbersetzt",,,Gedruckt zu Franckfurt,Frankfurt am Main; (DE-588)4018118-2,Frankfurt am Main; (DE-588)4018118-2,in verlegung Christophel le Blon,"Le Blon, Christoph; (DE-588)129782793","Le Blon, Christoph; (DE-588)129782793",1648,1648,75 Seiten,1 Illustration,4°,ger,eng,Aus dem Englischen übersetzt,VD17 14:688536Y,,,,,,,,,Reisebericht,,,,Reise; Indien; Geschichte 1607-1611; Iran; Mittlerer Osten; Ostindien,TravelogueD17 Orient; TravelogueD17 Asien,"568641-B.2,15 MAG",Illustrierender Titelkupfer. - Vignetten und Initialen im Text , Bibliografischer Nachweis: VD17 14:688536Y , Seite 3-4: Vorrede an den Leser. - Vorlageform der Veröffentlichungsangabe: Gedruckt zu Franckfurt in verlegung Christophel le Blon. Anno M. DC. XLVIII. ," Signaturformel: A-J4, K2",,Z168352602,,,
131,AC09797616,990029526100603338,http://data.onb.ac.at/ABO/%2BZ157588201,"Czernin von und zu Chudenitz, Hermann",,,Extract Auß dem an Jr Röm: Kay: auch zu Hungarn vnd Böheimb Khöniglicher Mayest. K. Von dero an die Ottomanischen Port abgesandten Bottschaffter / Jhr Excellens Herrn Herman Grafen von Schernin/ etc. gegebenen Schreiben; Darinn Hochgedachter Jhr Excell: abraisen von den Vngarischen/ vnd Ankunfft an die Türckischen Gräntzen. Vnd förderst Der Verlauff derer ansehnlichen Einbegleitung/ vnd gehabten Audiens zu Ofen. Wie auch Drittens Etzliche den in Vngarn Rebellischen Ragozi betreffente Avisen außführlich referirt werden,,,[Ohne Ort],,,,,,1644,1644,4 ungezählte Blätter,,4°,ger,,,,,,,,,,,,,,,,Ferdinand; Geschichte 1644; Osmanisches Reich; Dokument; Gesandtschaft,TravelogueD17 Europa; TravelogueD17 Orient,20.T.219 PRUNK,Kein illustrierender Inhalt. - Holzschnitt-Zierleiste und Initiale auf Blatt [2],,,,,Z157588201,,,
39,AC14470954,990053231900603338,http://data.onb.ac.at/ABO/%2BZ168353205,"Decker, Adolph; (DE-588)124653804",Journal van de Nassausche vloot,Schiffart; 22,<<Die>> Zwey vnd Zwäntzigste Schiffart Das ist Historische Eygentliche Beschreibung der Gewaltigen/ Mächtigen Schiffahrt/ so vnder dem Admiral Iacob l'Hermite Jm 1623. 1624. 1625. vnd 1626. Jahr vmb die gantzen Welt beschehen; Darinn Außführlichen von Adolph Deckern von Straßburg/ der dieser Reyß eygener Person beygewohnt/ Erzehlt wird/ was sich bey solcher von tag zu tag Merchwürdiges zugetragen vnd vorgangen. Mit vnderschiedlichen Kupfferstücken gezieret,,,Getruckt zu Franckfurt am Mayn,Frankfurt am Main; (DE-588)4018118-2,Frankfurt am Main; (DE-588)4018118-2,Jn verlegung der Hulsischen Erben,Levinus Hulsius Erben; (DE-588)6146897-7,,1630,1630,"114, das heißt 106 Seiten,  8 ungezählte gefaltete Blätter","8 Illustrationen, 4 Karten",4°,ger,dut,Aus dem Niederländischen übersetzt,VD17 32:631780Z,"Hermite, Jacques <<l'>>; (DE-588)128643471",,,,,,,,Reisebericht,,,,"Weltreise; Schiffsreise; Geschichte 1623-1627; Hermite, Jacques <<l'>>; Südamerika; Ostindien; De Witt, ...",TravelogueD17 Südamerika Asien,"568641-B.3,22 MAG","Die Illustrationen sind 1 illustrierender Titelkupfer, 7 Kupferstich-illustrationen und 4 Kupferstich-Karten "," Bibliografischer Nachweis: VD17 32:631780Z. - Zuerst in deutscher Sprache erschienen mit dem Titel: ""Diurnal der nassawischen Flotta, oder Tagregister, vnd historische, ordentliche Beschreibung einer gewaltigen mächtigen Schiffahrt, vmb die gantze Erdkugel rund vmbhr"" (VD17 1:085714E). Übersetzung des Berichtes in niederländischer Sprache ""Journal van de Nassausche vloot"" (vermutliche Verfasser: Jacques l'Hermite und Adolph Decker) vgl.  (OCoLC)1042933238 ", Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Getruckt zu Franckfort am Mayn/ Jn verlegung der Hulsischen Erben. Anno M. DC. XXX. ," Signaturformel: A-N4, O2. - Paginierfehler: ab Seite 9 fortlaufend falsch paginiert",,Z168353205,,,
