ko,MMS-ID,Volltext,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur
AC03116036,990004458740603338,"http://data.onb.ac.at/ABO/%2BZ42125705;
http://data.onb.ac.at/ABO/%2BZ171041408","Anburey, Thomas ; (DE-588)14128255X",Travels through the interior parts of America; (DE-588)115562419X,Magazin von merkwürdigen neuen Reisebeschreibungen; Zwölfter Band,<<Anburey's>> Reisen im innern Amerika; Aus dem Englischen übersetzt von Georg Forster,Zweyte Abtheilung,,Wien,Wien; (DE-588)4066009-6,Wien; (DE-588)4066009-6,gedruckt und verlegt bey F. A. Schrämbl,"Schrämbl, Franz Anton; (DE-588)117025143","Schrämbl, Franz Anton; (DE-588)117025143",1792,1792,"2 ungezählte Seiten, 381 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1 ,8°,"Die Illustration ist 1 Kupferstich-Karte (""Lauf der Flüsse Tigris und Euphrat, und der Weg von Basra nach Konstantinopel"", gezeichnet von D. F. Sotzmann)","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Die Titel sind den Seiten 1, 262 und 307 entnommen",,,ger,eng; fre,Zusammenstellung von aus dem Englischen und Französischen übersetzten Werken,,"Coste d'Arnobat, Charles Pierre; (DE-588)104318813 .- Howel, Thomas",,"Forster, Georg; (DE-588)118534416",,,,,,,"Reise nach Bambuk; <<Dr. Thomas Howels>> Tagebuch seiner Reise von Indien, durch Armenien und Natolien oder Kleinasien, nach England","Coste d'Arnobat, Charles Pierre: Voyage au pays de Bambouc; (DE-588)1155937872 .- Howel, Thomas: <<A>> journal of the passage from India, by a route partly unfrequented, through Armenia and Natolia; (DE-588)1155938518","Amerika; Reisebericht 1777-1781; Reisebericht; Entdeckungsreise; Geschichte 1771-1781; Senegal; Geschichte 1790; Quelle; Reise; Bambouk; Senegal; Coste d'Arnobat, Charles Pierre; Geschichte 1790; Anatolien; Reisebericht 1787-1788; Reise; Indien; Naher Osten; Armenien; Anatolien; Howel, Thomas; Osmanisches Reich; Geschichte 1787-1788; Orient",TravelogueD18 Nordamerika Asien; TravelogueD18 Orient,Zusammenstellung: ohne übergeordnetem Titel von mehreren Akteuren (Übersetzungen von Werken dreier Akteure),"303755-A.12; MAG .- 276879-A.12; MAG .- UNASSIGNED .- 276879-A,1-20; UNASSIGNED"
AC10277831,990034431870603338,http://data.onb.ac.at/ABO/%2BZ148208606,"Savary, Claude ; (DE-588)100405924",Lettres sur la Grèce; 1788; http://viaf.org/viaf/8463151474964300490003,Bibliothek der neuesten Reisebeschreibungen; Des zwölften Bandes erste Abtheilung,Reise nach Griechenland; Aus dem Französischen in einem Auszuge übersetzt; des Herrn Savary,,,Frankfurt und Leipzig,Frankfurt am Main; (DE-588)4018118-2 .- Leipzig; (DE-588)4035206-7,,"bei Christoph Weigel, und A. G. Schneider",Adam Gottlieb Schneider-Weigelsche Kunst- und Buchhandlung; (DE-588)5311115-1,,1789,1789,"214 Seiten, 1 gefaltetes Blatt",1 Illustration,1 ,,8°,Die Illustration ist 1 Kupferstichillustration (gestochen von J. G. Trautner) - Holzschnitt-Vignetten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0973 ; Engelmann II, 537",,,ger,fre,Aus dem Französischen übersetzt,,,,,,,"Trautner, Johann Georg; (DE-588)133572781",,,Reisebericht,,,Griechenland; Reise; Geschichte 1779; Osmanisches Reich,TravelogueD18 Europa; TravelogueD18 Orient,,"251329-B.12,1; MAG"
AC15245691,9958530076603338,"http://data.onb.ac.at/ABO/%2BZ16442090X;
http://data.onb.ac.at/ABO/%2BZ98088603;
http://data.onb.ac.at/ABO/%2BZ198359906","Tott, François <<de>> ; (DE-588)117727776",Mémoires sur les Turcs et les Tartares; (DE-588)4809561-8,Sammlung der besten Reisebeschreibungen; Drei und dreissigster Band,<<Des Herrn Baron von Tott>> Nachrichten von den Türken und Tataren; mit H. v. Payssonnel's Verbesserungen und Zusätzen,Erste Abtheilung,,Brünn,Brünn; (DE-588)4008456-5,Brünn; (DE-588)4008456-5,gedruckt bei Joseph Georg Traßler; und im Verlage Fr. Anton Schrämbls,"Schrämbl, Franz Anton; (DE-588)117025143","Traßler, Joseph Georg; (DE-588)129262358",1789,1789,395 Seiten,,,,8°,Kein illustrierender Inhalt,Bibliografischer Nachweis: . - Der Titel ist der Seite 3 entnommen,,,ger,fre,Aus dem Französischen übersetzt,,,"Peyssonnel, Charles <<de>>; (DE-588)124383645",,,,,,,Reisebericht,,,Reise; Osmanisches Reich; Geschichte 1755-1763; Osmanisches Reich; Landeskunde; Geschichte 18. Jahrhundert; Reise; Krim; Geschichte 1768-1769; Orient,TravelogueD18 Europa Asien; TravelogueD18 Orient,,214905-A.33; MAG .- 251353-A.33; MAG .- 265006-A.33; MAG .- 214905-A; UNASSIGNED
AC15245692,9958530076503338,http://data.onb.ac.at/ABO/%2BZ198360003,"Tott, François <<de>> ; (DE-588)117727776",Mémoires sur les Turcs et les Tartares; (DE-588)4809561-8,Sammlung der besten Reisebeschreibungen; Vier und dreißigster Band,<<Des Herrn Baron von Tott>> Nachrichten von den Türken und Tataren; mit H. v. Payssonnel's Verbesserungen und Zusätzen,Zweite Abtheilung,,Brünn,Brünn; (DE-588)4008456-5,Brünn; (DE-588)4008456-5,gedruckt bei Joseph Georg Traßler; und im Verlage Fr. Anton Schrämbls,"Schrämbl, Franz Anton; (DE-588)117025143","Traßler, Joseph Georg; (DE-588)129262358",1789,1789,379 Seiten,,,,8°,Kein illustrierender Inhalt,Bibliografischer Nachweis: . - Der Titel ist der Seite 3 entnommen,,,ger,fre,Aus dem Französischen übersetzt,,,"Peyssonnel, Charles <<de>>; (DE-588)124383645",,,,,,,Reisebericht,,,Reise; Osmanisches Reich; Geschichte 1755-1763; Osmanisches Reich; Landeskunde; Geschichte 18. Jahrhundert; Reise; Krim; Geschichte 1768-1769; Orient,TravelogueD18 Europa Asien; TravelogueD18 Orient,,214905-A.34; MAG .- 265006-A.34; MAG .- 251353-A.34; MAG .- 214905-A; UNASSIGNED
AC10239875,990034044530603338,http://data.onb.ac.at/ABO/%2BZ148208308,,"Voyage dans les Etats Barbaresques de Maroc, Alger, Tunis et Tripoly; 1785",,"Reise eines französischen Officiers durch die barbarischen Staaten Maroko, Algier, Tunis und Tripolis welche zuverlässige Nachrichten und genaue Bemerkungen von diesen Ländern enthält",,,Frankfurt und Leipzig,Frankfurt am Main; (DE-588)4018118-2 .- Leipzig; (DE-588)4035206-7,,in der Christoph Weigel= und A. G. Schneiderischen Kunst= und Buchhandlung,Adam Gottlieb Schneider-Weigelsche Kunst- und Buchhandlung; (DE-588)5311115-1,,1787,1787,"112 Seiten, 1 ungezähltes mehrfach gefaltetes Blatt Karte",1 Karte,,1 ,8°,1 gestochene Karte. - Holzschnitt-Vignetten,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Worldcat OCLC-838135457. - Anonym erschienen ; Werktitel nach Vorbericht der Quelle und Bibliografie Reiseliteratur Eutin,Seite 3-4: Vorbericht,Signaturformel: A-G8,ger,fre,Aus dem Französischen übersetzt,,,,,,,,,,Reisebericht,,,Nordafrika; Geschichte 1781-1785; Reise,TravelogueD18 Afrika; TravelogueD18 Orient,,"251329-B.7,2; MAG"
AC10383655,990035511830603338,http://data.onb.ac.at/ABO/%2BZ148208400,"Tott, François <<de>> ; (DE-588)117727776",Mémoires sur les Turcs et les Tartares; (DE-588)4809561-8,,<<Herrn Baron von Tott's>> Nachrichten von den Türken und Tataren; mit Herrn von Peyssonnel's Verbesserungen und Zusätzen. Aus dem Französischen,Erster Theil; Mit Kupfern,,Frankfurt und Leipzig,Frankfurt am Main; (DE-588)4018118-2 .- Leipzig; (DE-588)4035206-7,,in der Christoph Weigel= und A. G. Schneiderischen Kunst= und Buchhandlung,Adam Gottlieb Schneider-Weigelsche Kunst- und Buchhandlung; (DE-588)5311115-1,,1787,1787,"7 ungezählte Seiten, 312 Seiten, 20 ungezählte Blätter Bildtafeln",20 Illustrationen,20 ,,8°,Die Illustrationen umfassen 20 Kupferstichillustrationen. - Holzschnitt-Vignetten auf den Titelblättern und am Ende ; Fußnoten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 1142 ; Engelmann II, 993 ; Stuck I, 3421",Ungezählte Seite 4-5: Vorrede der Verleger,,ger,fre,Aus dem Französischen übersetzt,,,,,"Peyssonnel, Charles <<de>>; (DE-588)124383645",,"Weigel, Christoph; (DE-588)118630067",,,Reisebericht,,,,TravelogueD18 Asien; TravelogueD18 Orient,,251329-B.10; MAG
AC10481214,990038282970603338,http://data.onb.ac.at/ABO/%2BZ148208503,"Tott, François <<de>> ; (DE-588)117727776",Mémoires sur les Turcs et les Tartares; (DE-588)4809561-8,,<<Herrn Baron von Tott's>> Nachrichten von den Türken und Tataren; mit Herrn von Peyssonnel's Verbesserungen und Zusätzen. Aus dem Französischen,Zweyter und lezter Theil; Mit Kupfern,,Frankfurt und Leipzig,Frankfurt am Main; (DE-588)4018118-2 .- Leipzig; (DE-588)4035206-7,,bei Christoph Weigel und A. G. Schneider,Adam Gottlieb Schneider-Weigelsche Kunst- und Buchhandlung; (DE-588)5311115-1,,1788,1788,"318 Seiten, 3 ungezählte Seiten, 5 ungezählte Blätter Bildtafeln, 1 ungezähltes gefaltetes Blatt Bildtafel",6 Illustrationen,6 ,,8°,Die Illustrationen sind 6 Kupferstichillustrationen. - Holzschnitt-Vignetten auf den Titelblättern ; Fußnoten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin , Chatzipanagioti-Sangmeister, 1142 ; Engelmann II, 993 ; Stuck, I, 3421",,,ger,fre,Aus dem Französischen übersetzt,,,,,"Peyssonnel, Charles <<de>>; (DE-588)124383645",,"Weigel, Christoph; (DE-588)118630067",,,Reisebericht,,,,TravelogueD18 Asien; TravelogueD18 Orient,,251329-B.11; MAG
AC09760458,990029145430603338,http://data.onb.ac.at/ABO/%2BZ148208904,"Carra, Jean-Louis ; (DE-588)123246008",Histoire de la Moldavie et de la Valachie; 1777; http://viaf.org/viaf/7757153289943732770002,,Geschichte der Moldau und der Wallachei von ihrem Ursprunge an bis auf den jetzigen Zustand dieser Provinzen; Nebst Beschreibung der mit den Türken geführten Kriege; Auf einer Reise gesammelt von Herrn Carras Königl. Franz. Ambassadeur zu Warschau,,,Frankfurt und Leipzig,Leipzig; (DE-588)4035206-7 .- Frankfurt am Main; (DE-588)4018118-2,,bey Chr. Weigel und Schneider,Adam Gottlieb Schneider-Weigelsche Kunst- und Buchhandlung; (DE-588)5311115-1,,1790,1790,"12 ungezählte Seiten, 148 Seiten, 2 ungezählte Blätter Bildtafeln",2 Illustrationen,2 ,,8°,Die Illustrationen sind 2 Kupferstichillustrationen ( teilweise signiert von Chr. Weigel) - Vignetten auf dem Titelblatt und im Text,"Bibliografischer Nachweis: Stuck I, 264 (franz. Ausgabe) ; Chatzipanagioti-Sangmeister, 0153. - Auch als Monographie erschienen Frankfurt und Leipzig, Weigel und Schneider, 1789. - Werktitel nach VIAF und Chatzipanagioti-Sangmeister",,,ger,fre,Aus dem Französischen übersetzt,,,,,,,"Weigel, Christoph",,,,,,Moldau; Geschichte; Walachei; Geschichte; Topografie,TravelogueD18 Orient; TravelogueD18 Europa,,"251329-B.14,1; MAG"
AC13288083,990057719720603338,"http://data.onb.ac.at/ABO/%2BZ25887110X;
http://data.onb.ac.at/ABO/%2BZ124928001","Phillip, Arthur ; (DE-588)118982796",Voyage of Governor Phillip to Botany Bay,,<<Gouverneur Phillip's>> Reise nach Neu-Süd-Wallis; mit Nachrichten von den Kolonien in Port Jackson und auf Norfolk-Eiland,,,Berlin,Berlin; (DE-588)4005728-8,,Bei Christian Friedrich Voß und Sohn,Christian Friedrich Voss und Sohn; (DE-588)6146570-7; Vossische Buchhandlung; (DE-588)64386-5,,1790,1790,"8 ungezählte Seiten, XXIV, 399 Seiten, 7 ungezählte teilweise gefaltete Blätter","2 Karten, 5 Illustrationen",5 ,2 ,8°,Die Illustrationen umfassen 2 gestochene Karten und 5 Kupferstichillustrationen. - Fußnoten ; Tabellen,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,"Stücktitel ist Zwischentitel von Seite 1. -  Widmungsvorrede des Herausgebers Johann Reinhold Forster an Franz Karl von Irwing, Datum 17.04.1790. - Seite [I]-XX: Vorrede des Herausgebers Johann Reinhold Forster, Datum 17.04.1790",,ger,eng,Aus dem Englischen übersetzt,VD18 11573244-001,"Francklin, William; (DE-588)129528846 .- Saunders, Robert; (DE-588)133389014 .- Gilbert, ... .- Watts, ... .- Shortland, John; (DE-588)133430995","Forster, Johann Reinhold; (DE-588)118534432",,,,"Glassbach, Benjamin; (DE-588)124173160","Forster, Johann Reinhold; (DE-588)118534432","Irwing, Karl Franz <<von>>; (DE-588)136812473",Reisebericht,"Rückreisen von Neu-Süd-Wallis; Bemerkungen auf einer Reise von Bengalen nach Persien, in den Jahren 1786 und 1787; Mineralogische und botanische Reise nach Butan und Tibet","Francklin, William: Observations made on a tour from Bengal to Persia, in the years 1786-7; (DE-588)1141622165 .- Saunders, Robert: An account of an embassy to the court of the Teshoo Lama in Tibet; ","Forschungsreise; Iran; Geschichte 1786-1787; Francklin, William; Forschungsreise; China; Geschichte 1783; Saunders, Robert; Forschungsreise; New South Wales; Phillip, Arthur; Geschichte 1787-1788",TravelogueD18 Ozeanien Asien; TravelogueD18 Orient,Zusammenstellung: ohne übergeordnetem Titel von mehreren Akteuren (drei Werke in Übersetzung),393869-B.1; MAG .- 264194-B.1; MAG
AC15245845,9958530070703338,"http://data.onb.ac.at/ABO/%2BZ98085407;
http://data.onb.ac.at/ABO/%2BZ164417705;
http://data.onb.ac.at/ABO/%2BZ198356802","Maundrell, Henry ; (DE-588)132232928",Journey from Aleppo to Jerusalem; 1699; http://viaf.org/viaf/308565966,,"<<Eine>> Reise von Aleppo nach Jerusalem; durch Herrn Heinrich Maundrell, Prediger bei der englischen Faktorei zu Aleppo",,,Troppau,Troppau; (DE-588)4061019-6,Troppau; (DE-588)4061019-6,"gedruckt bei Joseph Georg Traßler, und im Verlage der Kompagnie","Traßler, Joseph Georg; (DE-588)129262358","Traßler, Joseph Georg; (DE-588)129262358",1784,1784,460 Seiten,,,,8°,Kein illustrierender Inhalt. - Holzschnitt-Zierleisten im Text,"Bibliografischer Nachweis: Kainbacher, Erforschung Afrikas. - Haupttitel entommen von Seite 5. - Zusammenstellung von 4 Expressionen mehrerer Akteure",,,ger,eng,Aus dem Englischen übersetzt,,"Wood, Robert; (DE-588)1090231644 .- Pococke, Richard; (DE-588)11768757X .- Shaw, Thomas; (DE-588)11762537X",,,,,,,,Reisebericht,"Die Reisen des D. Thomas Shaws; Bericht von einer Reise nach Palmyra, sonst Tedmor in der Wüsten, nebst einer Beschreibung dessen, was sich von dieser berühmten Stadt übrig geblieben ist; Die Reisen D. Richard Pocockes","Wood, Robert: Ruins of Palmyra otherwise Tedmore in the desart;  .- Pococke, Richard: <<A>> description of the East, and some other countries; http://viaf.org/viaf/23146462712527772442 .- Shaw, Thomas: Travels or observations relating to several parts of Barbary and the Levant; (DE-588)1123307199","Reise; Palästina; Wallfahrt; Jerusalem; Geschichte 1697; Maundrell, Henry; Orient; Naher Osten; Reise; Nordafrika; Osmanisches Reich; Shaw, Thomas; Geschichte 1720-1733; Reise; Naher Osten; Syrien; Wood, Robert; Geschichte 1750-1753; Reise; Pococke, Richard; Naher Osten; Nordafrika; Geschichte 1737-1742",TravelogueD18 Asien Afrika Europa; TravelogueD18 Orient,Zusammenstellung: ohne übergeordnetem Titel von mehreren Akteuren,251353-A.1; MAG .- 265006-A.1; MAG .- 214905-A; UNASSIGNED
AC12654681,990048102650603338,http://data.onb.ac.at/ABO/%2BZ220632607,"Maundrell, Henry ; (DE-588)132232928",Journey from Aleppo to Jerusalem; 1699; http://viaf.org/viaf/308565966,,"Eine Reise von Aleppo nach Jerusalem; durch Herrn Heinrich Maundrell, Prediger bei der englischen Faktorei zu Aleppo",,,Troppau,Troppau; (DE-588)4061019-6,Troppau; (DE-588)4061019-6,"gedruckt be Joseph Georg Traßler, und im Verlage der Kompagnie","Traßler, Joseph Georg; (DE-588)129262358","Traßler, Joseph Georg; (DE-588)129262358",1785,1784,460 Seiten,,,,8°,Kein illustrierender Inhalt. - Holzschnitt-Zierleisten im Text,"Bibliografischer Nachweis: Kainbacher, Erforschung Afrikas. - Hauptitel der Seite 5 entnommen. - Zusammenstellung von 4 Expressionen mehrerer Akteure",,,ger,eng,Aus dem Englischen übersetzt,,"Wood, Robert; (DE-588)1090231644 .- Pococke, Richard; (DE-588)11768757X .- Shaw, Thomas; (DE-588)11762537X",,,,,,,,Reisebericht,"<<Die>> Reisen des D. Thomas Shaws; Bericht von einer Reise nach Palmyra, sonst Tedmor in der Wüsten, nebst einer Beschreibung dessen, was sich von dieser berühmten Stadt übrig geblieben ist; <<Die>> Reisen D. Richard Pocockes","Wood, Robert: Ruins of Palmyra otherwise Tedmore in the desart;  .- Pococke, Richard: <<A>> description of the East, and some other countries; http://viaf.org/viaf/23146462712527772442 .- Shaw, Thomas: Travels or observations relating to several parts of Barbary and the Levant; (DE-588)1123307199","Reise; Palästina; Wallfahrt; Jerusalem; Geschichte 1697; Maundrell, Henry; Orient; Naher Osten; Reise; Nordafrika; Osmanisches Reich; Shaw, Thomas; Geschichte 1720-1733; Reise; Naher Osten; Syrien; Wood, Robert; Geschichte 1750-1753; Reise; Pococke, Richard; Naher Osten; Nordafrika; Geschichte 1737-1742",TravelogueD18 Asien Europa Afrika; TravelogueD18 Orient,Zusammenstellung: ohne übergeordnetem Titel von mehreren Aktueren (Übersetzungen von 4 Werken),686778-B.1; MAG .- 214905-A; UNASSIGNED
AC15089792,9958525959103338,http://data.onb.ac.at/ABO/%2BZ124976706,"Ferrières-Sauveboeuf, Louis François <<de>> ; (DE-588)119455625","Mémoires historiques, politiques et géographiques des voyages du comte de Ferrières-Sauveboeuf, faits en Turquie, en Perse et en Arabie; 1790",,"<<Des>> Grafen von Ferrieres Sauveboeuf Reisen durch die Türkei, Persien und Arabien in den Jahren 1782 bis 1789.",Zweiter Theil,,Leipzig,Leipzig; (DE-588)4035206-7,Leipzig; (DE-588)4035206-7,bey Siegfried Lebrecht Crusius,"Crusius, Siegfried Leberecht; (DE-588)11675026X","Crusius, Siegfried Leberecht; (DE-588)11675026X",1790,1790,"6 ungezählte Seiten, 262 Seiten, 12 ungezählte Seiten",,,,8°,Kein illustrierender Inhalt. - Titel-Vignette (Holzschnitt),"Bibiografischer Nachweis: Chatzipanagioti-Sangmeister, 0341 ; Bibliografie Reiseliteratur Eutin",,,ger,fre,Aus dem Französischen übersetzt,,,,,,,,,,Reisebericht,,,Reise; Naher Osten; Arabien; Geschichte 1782-1789; Osmanisches Reich; Orient,TravelogueD18 Asien; TravelogueD18 Orient,,251630-B.2; MAG
AC15089777,9958525959203338,http://data.onb.ac.at/ABO/%2BZ124976603,"Ferrières-Sauveboeuf, Louis François <<de>> ; (DE-588)119455625","Mémoires historiques, politiques et géographiques des voyages du comte de Ferrières-Sauveboeuf, faits en Turquie, en Perse et en Arabie; 1790",,"<<Des Grafen von Ferrieres Sauveboeuf>> Reisen durch die Türkei, Persien und Arabien in den Jahren 1782 bis 1789.",Erster Theil,,Leipzig,Leipzig; (DE-588)4035206-7,Leipzig; (DE-588)4035206-7,bey Siegfried Lebrecht Crusius,"Crusius, Siegfried Leberecht; (DE-588)11675026X","Crusius, Siegfried Leberecht; (DE-588)11675026X",1790,1790,"20 ungezählte Seiten, 244 Seiten",,,,8°,Kein illustrierender Inhalt. - Titelvignette (Holzschnitt),"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0341",Ungezählte Seite 3-16 Vorrede des Verfassers,,ger,fre,Aus dem Französischen übersetzt,,,,,,,,,,Reisebericht,,,Reise; Naher Osten; Arabien; Geschichte 1782-1789; Osmanisches Reich; Orient,TravelogueD18 Asien; TravelogueD18 Orient,,251630-B.1; MAG
AC15227311,9958527180203338,http://data.onb.ac.at/ABO/%2BZ12492780X,,,,Reise und Beobachtungen durch Egypten und Arabien; aus den grossen Werken verschiedener gelehrten Reisenden; [herausgegeben von Jacob Samuel Wyttenbach],Erster Band; Mit Kupfern,,Bern und Winterthur,Bern; (DE-588)4005762-8 .- Winterthur; (DE-588)4066337-1,Bern; (DE-588)4005762-8,"bey der typographischen Gesellschaft,; und Heinrich Steiner und Compagnie",Typographische Gesellschaft; (DE-588)5536415-9; Heinrich Steiner & Comp.; (DE-588)1073088146,Typographische Gesellschaft; (DE-588)5536415-9,1779,1779,"4 ungezählte Seiten, 434 Seiten, XI Blätter Bildtafeln, A-D, das heißt 3 mehrfach gefaltete Blätter Karten","11 Illustrationen, 3 Karten",11 ,3 ,8°,"Die Illustrationen sind 11 Kupferstich-Illustrationen, 3 Kupferstich-Karten (A: Nili Brachia Ambo Majora cum Oppidis et Vicis in utrâque ripâ sitis, B: Mare Rubrum seu Sinus Arabicus ad observationes maximam partem ab Auctore annis MDCCLXII et MDCCLXIII institutas delineatus a C. Niebuhr, C: Terrae Yemen maxima Pars). - Holzschnitt-Vignetten im Text ; Fußnoten",Bibliografischer Nachweis: Holzmann-Bohatta III 11544 ; Bibliografie Reiseliteratur Eutin ; VD18 90672429,,,ger,lat; ger,Enthält auch Auszüge eines aus dem Lateinischen übersetzten Werkes,,"Niebuhr, Carsten; (DE-588)118734784 .- Forsskål, Peter; (DE-588)119251167","Wyttenbach, Jacob Samuel; (DE-588)124607497",,,,"Lardy, François Guillaume; (DE-588)1089796390",,,Reisebericht,,"Forsskål, Peter: Flora Aegyptiaco-Arabica;  .- Niebuhr, Carsten: Beschreibung von Arabien; ",Forschungsreise; Arabien; Topografie; Geschichte 1761-1767; Botanik,TravelogueD18 Asien; TravelogueD18 Orient,Zusammenstellung: Zusammenstellung von mehreren Akteuren mit übergeordnetem Titel,251293-B.2; MAG
AC15227290,9958527180303338,http://data.onb.ac.at/ABO/%2BZ124927902,,,,Reise und Beobachtungen durch Egypten und Arabien; aus den grossen Werken verschiedener gelehrten Reisenden; [herausgegeben von Jacob Samuel Wyttenbach],Erster Band,,Bern,Bern; (DE-588)4005762-8,Bern; (DE-588)4005762-8,"bey der neuen typographischen Gesellschaft,; und Heinrich Steiner und Compagnie",Typographische Gesellschaft; (DE-588)5536415-9; Heinrich Steiner & Comp.; (DE-588)1073088146,Typographische Gesellschaft; (DE-588)5536415-9 .- Heinrich Steiner & Comp.; (DE-588)1073088146,1781,1781,"2 ungezählte Seiten, 444 Seiten, VIII Blätter Bildtafel, D-F, das heißt 3 mehrfach gefaltetes Blätter Bildtafeln","8 Illustrationen, 3 Karten",8 ,3 ,8°,"Die Illustrationen sind 3 Kufperstich-Karten( D: Terrae Omân delineatio Auctore C. Niebuhr, E: Sinus Persicus maximam partem ad observationes proprias A. MDCCLXV institutas delineatus a C. Niebuhr, F: Tabula Itineraria a Sues usque ad Dsjäbbel El Mokátteb et Montem Sinai), 8 Kupferstichillustrationen. - Holzschnitt-Vignetten","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Holzmann-Bohatta III, 11544 ; VD18 90672437",,,ger,,,,"Niebuhr, Carsten; (DE-588)118734784","Wyttenbach, Jacob Samuel; (DE-588)124607497",,,,,,,Reisebericht; Aufsatzsammlung,,"Niebuhr, Carsten: Beschreibung von Arabien; ",Forschungsreise; Arabien; Geschichte 1761-1767; Orient; Osmanisches Reich,TravelogueD18 Asien; TravelogueD18 Orient,,251293-B.1; MAG
AC15227266,9958527180403338,http://data.onb.ac.at/ABO/%2BZ124928700,,Sammlung merkwürdiger Reisen in das Innere von Afrika,,"Sammlung merkwürdiger Reisen in das Jnnre von Afrika; Gesammlet und herausgegeben von Ernst Wilhelm Cuhn, Landgräfliche Hessischen Rath und Bibliothekar. Mti einer Charte",Dritter Theil,,Leipzig,Leipzig; (DE-588)4035206-7,Leipzig; (DE-588)4035206-7,bey Georg Joachim Göschen,"Göschen, Georg Joachim; (DE-588)118695916","Göschen, Georg Joachim; (DE-588)118695916",1791,1791,"8 ungezählte Seiten, 447 Seiten, 1 ungezähltes mehrfach gefaltetes Blatt Karte",1 Karte,,1 ,8°,Die Illustration ist 1 Kupferstich-Karte,Bibliografischer Nachweis: Engelmann 163 ; Bibliografie Reiseliteratur Eutin. - Zusammenstellung,Ungezählte Seite 3-8: Vorredes des Herausgebers,,ger,eng,Enthält Auszüge von aus dem Englischen übersetzten Werk,,"Einsiedel, August <<von>>; (DE-588)116425385 .- Bruce, James; (DE-588)117636258","Cuhn, Ernst Wilhelm; (DE-588)11766586X",,,,,,,Reisebericht,,"Einsiedel, August <<von>>: Nachricht von den innern Ländern von Afrika, auf einer Reise nach Tunis unternommenen Reise;  .- Bruce, James: Travels to Discover the Source of the Nile; ","Forschungsreise; Ostafrika; Bruce, James; Geschichte 1768-1773; Forschungsreise; Nordafrika; Tunis; Geschichte 1785-1787; Einsiedel, August <<von>>; Osmanisches Reich",TravelogueD18 Afrika; TravelogueD18 Orient,Zusammenstellung: Zusammenstellung mit übergeordnetem Titel von Werken mehrerer Akteure,251273-B.3; MAG
